gold,fault,category,expected,detected,diagnosed,localized,repair_applicable,repaired,repair_reason,codes
linear_compose,clean,clean,PASS,False,False,False,False,False,clean,
linear_compose,orphan_node,structural,DEAD_NODE,True,True,True,True,True,accepted,DEAD_NODE
linear_compose,broken_edge,structural,DEAD_NODE,True,True,False,True,True,accepted,DEAD_NODE|MISSING_HUMAN_GATE|ORDER_VIOLATION
linear_compose,missing_required_action,semantic,MISSING_HUMAN_GATE,True,True,False,True,True,accepted,MISSING_HUMAN_GATE|MISSING_REQUIRED_ACTION
linear_compose,wrong_order,ordering,ORDER_VIOLATION,True,True,True,True,True,accepted,DEAD_NODE|MISSING_HUMAN_GATE|ORDER_VIOLATION|ORDER_VIOLATION
linear_compose,missing_branch,branch,WEAK_BOUNDS,True,True,False,True,True,accepted,MISSING_REQUIRED_ACTION|WEAK_BOUNDS
linear_compose,wrong_parameter,parameter,GUARD_NOT_EXPR,True,True,True,True,True,accepted,GUARD_NOT_EXPR|WEAK_BOUNDS
linear_compose,broken_binding,dataflow,BROKEN_BINDING,True,True,True,True,True,accepted,DEAD_NODE|DEAD_NODE|MISSING_HUMAN_GATE|ORDER_VIOLATION|ORDER_VIOLATION|ORDER_VIOLATION|BROKEN_BINDING
linear_compose,hardcoded_secret,safety,HARDCODED_SECRET,True,True,True,True,True,accepted,HARDCODED_SECRET
linear_compose,unsafe_webhook,safety,UNRESTRICTED_WEBHOOK,True,True,True,True,True,accepted,UNRESTRICTED_WEBHOOK
merge_dual,clean,clean,PASS,False,False,False,False,False,clean,
merge_dual,orphan_node,structural,DEAD_NODE,True,True,True,True,True,accepted,DEAD_NODE
merge_dual,broken_edge,structural,DEAD_NODE,True,True,False,True,True,accepted,DEAD_NODE|MISSING_HUMAN_GATE|ORDER_VIOLATION
merge_dual,missing_required_action,semantic,MISSING_HUMAN_GATE,True,True,False,True,True,accepted,MISSING_HUMAN_GATE|MISSING_REQUIRED_ACTION
merge_dual,wrong_order,ordering,ORDER_VIOLATION,True,True,True,True,True,accepted,DEAD_NODE|MISSING_HUMAN_GATE|ORDER_VIOLATION|ORDER_VIOLATION
merge_dual,missing_branch,branch,WEAK_BOUNDS,True,True,False,True,False,REPAIR_REJECTED_NO_IMPROVEMENT,DEAD_NODE|MISSING_REQUIRED_ACTION|WEAK_BOUNDS
merge_dual,wrong_parameter,parameter,GUARD_NOT_EXPR,True,True,True,True,True,accepted,GUARD_NOT_EXPR|WEAK_BOUNDS
